category,fact
Science,"The mantis shrimp has one of the most complex visual systems known to science, capable of seeing both polarized light and multispectral images."
Space,"Ganymede, a moon of Jupiter, is the largest moon in the solar system and is even larger than the planet Mercury."
History,"The 'Antikythera mechanism', discovered in an ancient shipwreck near Greece, is an ancient Greek analog computer used to predict astronomical positions and eclipses."
Biology,"The Greenland shark is one of the Earth's longest-living animals, with some individuals estimated to be over 400 years old."
Technology,"The first patent for a system that recognized human speech was filed in 1952 by Audrey and Belmont Farley."
Geography,"The Amazon Rainforest, often referred to as the 'lungs of the Earth', produces approximately 20% of the world's oxygen."
Mathematics,"The concept of zero as a number was first used in India around the 5th century."
Literature,"The longest single-volume book in the world is 'In Search of Lost Time' by Marcel Proust, containing about 1.2 million words."
Sports,"Korfball is a mixed gender team sport that originated in the Netherlands, with similarities to netball and basketball."
Music,"The oldest known musical composition to have survived in its entirety is the 'Hurrian Hymn No. 6', written around 1400 BC."
Animals,"The Arctic Tern has the longest migration of any animal in the world, traveling about 71,000 kilometers (44,000 miles) annually from its Arctic breeding grounds to the Antarctic and back."
Cinema,"The first ever color film was 'A Visit to the Seaside', which was made in 1908 and used the Kinemacolor process."
Food,"The first chocolate bar was manufactured in England by J.S. Fry & Sons in 1847."
Art,"The 'Night Watch' by Rembrandt, one of the most famous paintings in the world, is actually much larger than originally displayed, as its edges were trimmed in 1715 to fit between two doors in Amsterdam's City Hall."
Economics,"The concept of 'fiat money', which is money without intrinsic value that is used as money because of government decree, has been in use since the 11th century in China."
Physics,"Schwarzschild black holes, theoretical black holes where the gravity is so strong that nothing, not even light, can escape, were first proposed by Karl Schwarzschild in 1916."
Chemistry,"The smell of rain on dry earth, or 'petrichor', is caused by an oil produced by plants, then absorbed by rocks and soil, and later released into the air during rainfall."
Medical,"The first successful organ transplant was a kidney transplant performed in 1954 between identical twins."
Environmental,"Only about 2.5% of the Earth's water is freshwater, and more than two-thirds of that is frozen in glaciers and ice caps."
Psychology,"The phenomenon of 'phantom limb' occurs in up to 80% of amputees, where they feel sensations or even pain in the limb that has been amputated."
Linguistics,"The Pirahã language, spoken by a small tribe in the Amazon, has no fixed words for colors, instead describing them by comparison to natural objects."
Astronomy,"The universe is thought to be about 13.8 billion years old, based on observations of the cosmic microwave background radiation."
Entertainment,"The longest-running television show in the world is 'Guiding Light', an American soap opera that aired from 1937 until 2009."
Political Science,"The 'domino theory' was a Cold War policy that suggested a communist government in one nation would quickly lead to communist takeovers in neighboring states."
Sociology,"The concept of 'social proof', a psychological phenomenon where people copy the actions of others in an attempt to undertake behavior in a given situation, is influential in shaping social behaviors."
Philosophy,"'Solipsism' is the philosophical idea that only one's own mind is sure to exist, and that knowledge outside one's own mind is unsure."
Fashion,"The modern zipper was invented by Gideon Sundback in 1913, revolutionizing the clothing industry."
Architecture,"The International Space Station (ISS) is one of the most significant architectural achievements, being the largest human-made structure in space."
Travel,"The Trans-Siberian Railway is not only the longest railway in the world but also a vital link for trade between Russia and the rest of the world."
Gaming,"'Dungeons & Dragons', created in 1974, is credited with originating the tabletop role-playing game genre and has influenced a vast array of video games and other entertainment mediums."
Science,"Fungi are more closely related to animals than to plants in the evolutionary tree."
Space,"The surface of Venus is so hot that it can melt lead, with temperatures reaching up to 470°C (878°F)."
History,"The Code of Hammurabi is one of the oldest deciphered writings of significant length in the world, dating back to about 1754 BC."
Biology,"The immortal jellyfish (Turritopsis dohrnii) can revert to its polyp stage after becoming sexually mature, potentially giving it biologically immortal behavior."
Technology,"The first known use of the word 'computer' was in a 1613 book called 'The Yong Mans Gleanings' by English writer Richard Braithwait: "I haue read the truest computer of Times, and the best Arithmetician that euer breathed, and he reduceth thy dayes into a short number.""
Geography,"Lake Baikal in Siberia is the deepest and oldest freshwater lake in the world, containing around 20% of the world's unfrozen freshwater reserve."
Mathematics,"The Fibonacci sequence appears in biological settings, such as branching in trees, the arrangement of leaves on a stem, the fruit sprouts of a pineapple, the flowering of an artichoke, and the arrangement of a pine cone's bracts."
Literature,"J.R.R. Tolkien created an entire language for the Elves in his 'Lord of the Rings' and 'The Hobbit' series."
Sports,"Major League Baseball's longest game by innings was played in 1984 between the Milwaukee Brewers and the Chicago White Sox, lasting 25 innings."
Music,"The first recorded instance of music designed specifically for cinema was for the 1908 French film 'L'Assassinat du Duc de Guise' (The Assassination of the Duke of Guise)."
Animals,"The blue whale is the largest animal ever to have lived on Earth, with the largest recorded specimen being 33 meters (108 feet) long and weighing 190 tonnes."
Cinema,"The first commercial motion picture exhibition was given in New York City in 1894, using Thomas Edison's Kinetoscope."
Food,"The concept of afternoon tea was introduced in England by Anna, the seventh Duchess of Bedford, in the year 1840, as a way to quell the hunger between lunch and dinner."
Art,"The oldest known figurative art is the 'Lion-Man' sculpture found in Germany, estimated to be 40,000 years old."
Economics,"The 'invisible hand', a term coined by Adam Smith, describes the unintended social benefits of an individual's self-interested actions."
Physics,"The theory of relativity proposed by Albert Einstein revolutionized our understanding of space, time, and gravity."
Chemistry,"Aluminum was once considered more precious than gold or silver. The tip of the Washington Monument was capped with it in 1884 to highlight its value."
Medical,"The first successful blood transfusion was performed in 1665 between two dogs by Richard Lower."
Environmental,"The Amazon Rainforest has been described as the 'Lungs of our Planet' because it provides the essential environmental world service of continuously recycling carbon dioxide into oxygen."
Psychology,"The 'Pygmalion effect' is the phenomenon whereby higher expectations lead to an increase in performance."
Linguistics,"The Rosetta Stone was crucial in deciphering Egyptian hieroglyphs, with inscriptions in Greek, Egyptian hieroglyphs, and Demotic."
Astronomy,"The largest known star, UY Scuti, is so large that if it were placed in the center of our solar system, it would extend beyond the orbit of Jupiter."
Entertainment,"The longest-running prime-time animated TV series is 'The Simpsons', which first aired in December 1989."
Political Science,"Machiavelli's 'The Prince', written in the 16th century, is one of the most influential works in political philosophy and realpolitik."
Sociology,"The Stanford prison experiment, conducted in 1971, aimed to investigate the psychological effects of perceived power, focusing on the struggle between prisoners and prison officers."
Philosophy,"The 'Allegory of the Cave' by Plato describes prisoners chained in a cave, facing a blank wall, seeing shadows projected on the wall from objects passing in front of a fire behind them, and how one prisoner who sees the outside world is not believed upon his return."
Fashion,"The first known fashion designer, who was also the first to sew his label into garments he created, was Charles Frederick Worth in the 19th century."
Architecture,"The Burj Khalifa in Dubai, standing at 828 meters (2,717 feet), is the tallest man-made structure in the world."
Travel,"Bhutan measures its progress and development by Gross National Happiness rather than Gross Domestic Product."
Gaming,"The first home video game console, the Magnavox Odyssey, was released in 1972 and used a light gun for shooting games."
Science,"Quantum tunneling allows particles to pass through barriers that would be insurmountable according to classical physics."
Space,"The Great Red Spot on Jupiter is a storm that has been raging for at least 400 years, and it's so large that three Earths could fit inside it."
History,"The oldest known prosthetic device is the Greville Chester toe, made from wood and leather, found on a mummy in Egypt and dating back to over 3,000 years ago."
Biology,"Peacock tail feathers are not pigmented but get their vibrant colors from microscopic structures that refract light."
Technology,"The concept of the internet was first theorized by J.C.R. Licklider in 1962 with his idea of an 'Intergalactic Network' of computers."
Geography,"Mount Everest's height is officially recognized as 8,848 meters, but new measurements suggest it may be taller due to shifting tectonic plates."
Mathematics,"'Hilbert's problems' are a set of 23 unsolved problems presented by German mathematician David Hilbert in 1900, which have influenced mathematical research for over a century."
Literature,"'The Tale of Genji', written in the early 11th century by Murasaki Shikibu, is often considered the world's first novel."
Sports,"The original Olympic Games, held in ancient Olympia, included events such as a footrace, pentathlon, boxing, and chariot racing."
Music,"The world's oldest known musical instruments are flutes made from bird bones and mammoth ivory, found in a cave in Germany and dated to about 40,000 years ago."
Animals,"The pistol shrimp can snap its claw shut so rapidly, it creates a bubble that reaches temperatures close to that of the sun and produces a loud popping sound."
Cinema,"'Metropolis' (1927) by Fritz Lang is considered the first feature-length science fiction film."
Food,"The world's most expensive coffee, Kopi Luwak, is made from beans that have been eaten and excreted by a civet."
Art,"The first known use of perspective in art was by the ancient Greeks in their fresco paintings, as early as 500 B.C."
Economics,"Hyperinflation in Hungary in 1946 reached such extreme levels that prices doubled every 15.6 hours."
Physics,"The principle of superposition in quantum mechanics suggests that particles can exist in multiple states at the same time until observed."
Chemistry,"The rarest naturally occurring element on Earth is astatine, with less than 1 gram present in the Earth's crust at any given time."
Medical,"The first vaccine was developed by Edward Jenner in 1796 as a means of preventing smallpox."
Environmental,"More than half of the breathable oxygen in the world comes from marine plants, primarily phytoplankton."
Psychology,"The 'Barnum effect' explains why people believe vague, general personality descriptions to be highly accurate for them specifically."
Linguistics,"The constructed international auxiliary language Esperanto was created in the late 19th century to foster harmony between people from different countries."
Astronomy,"A day on Venus is longer than a year on Venus due to its slow rotation speed."
Entertainment,"The first Emmy Awards were held in 1949, with the first award going to Shirley Dinsdale and her puppet Judy Splinters for Most Outstanding Television Personality."
Political Science,"The concept of 'social contract' theory, proposed by philosophers such as Thomas Hobbes, John Locke, and Jean-Jacques Rousseau, suggests that people live together in society in accordance with an agreement that establishes moral and political rules of behavior."
Sociology,"The 'Looking-glass self' is a social psychological concept, introduced by Charles Horton Cooley in 1902, that suggests people shape their self-concepts based on their understanding of how others perceive them."
Philosophy,"Existentialism, a philosophy focusing on individual freedom, choice, and existence, became prominent in the 20th century through the works of Jean-Paul Sartre, Albert Camus, and Friedrich Nietzsche."
Fashion,"The first fashion show is believed to have taken place in Paris in 1858 by English designer Charles Frederick Worth, who is also considered the father of haute couture."
Architecture,"The ziggurat of Ur, built in the 21st century BCE in ancient Mesopotamia, is one of the earliest examples of monumental architecture."
Travel,"The concept of time travel, while a popular theme in science fiction, remains speculative, with theoretical underpinnings in the principles of special and general relativity."
Gaming,"'Tetris', created by Russian software engineer Alexey Pajitnov in 1984, was the first video game to be exported from the USSR to the US, where it gained immense popularity."
Science,"The Mpemba effect is a process where hot water can freeze faster than cold water under certain conditions, though the exact reasons are still debated."
Space,"Enceladus, one of Saturn's moons, ejects plumes of salt water that suggest it has an ocean beneath its icy surface, potentially habitable for microbial life."
History,"During the 19th century, aluminum was more valuable than gold due to its rarity and difficulty in extraction, which was reflected in it being chosen for the cap of the Washington Monument."
Biology,"Some species of worms, like planarians, possess the ability to regenerate their entire bodies from a single segment."
Technology,"The first electronic digital computer, ENIAC (Electronic Numerical Integrator and Computer), announced in 1946, weighed more than 30 tons and used 18,000 vacuum tubes."
Geography,"The Dead Sea is one of the saltiest bodies of water in the world, allowing people to float due to its high buoyancy."
Mathematics,"Kurt Gödel's incompleteness theorems, published in 1931, demonstrate the inherent limitations in every non-trivial axiomatic system, implying that no such system can be both consistent and complete."
Literature,"The Epic of Gilgamesh, an epic poem from ancient Mesopotamia, is among the earliest known works of literary fiction, dating back to approximately 2100 BC."
Sports,"Billiards was originally a lawn game similar to croquet, played sometime during the 15th century in Northern Europe."
Music,"The theremin, invented in 1920 by Léon Theremin, is one of the first electronic musical instruments and is unique in that it is played without physical contact."
Animals,"The peregrine falcon is the fastest bird, capable of reaching speeds over 240 mph (386 km/h) during its hunting dive."
Cinema,"'The Jazz Singer', released in 1927, was the first feature-length motion picture with synchronized dialogue sequences, heralding the commercial ascendance of the 'talkies' and the decline of the silent film era."
Food,"The tradition of fermenting tea into pu-erh tea dates back thousands of years in China, making it one of the oldest forms of tea processing."
Art,"The Lascaux Caves in southwestern France contain some of the most famous prehistoric cave paintings, estimated to be over 17,000 years old."
Economics,"The Dutch Tulip Mania of the early 17th century is one of the most famous examples of financial bubbles, where prices for tulip bulbs reached extraordinarily high levels and then dramatically collapsed."
Physics,"The Higgs boson, a particle that helps give mass to all elementary particles, was theoretically predicted in 1964 and experimentally confirmed by scientists at CERN in 2012."
Chemistry,"Graphene, a single layer of carbon atoms arranged in a two-dimensional honeycomb lattice, is one of the strongest materials tested, conducting heat and electricity efficiently."
Medical,"Alexander Fleming discovered penicillin, the first true antibiotic, in 1928, which has since saved countless lives from bacterial infections."
Environmental,"Plastic waste can take up to 1,000 years to decompose in landfills, highlighting the importance of recycling and reducing plastic usage to protect the environment."
Psychology,"The 'Halo effect' is a cognitive bias where an individual's overall impression of a person, company, brand, or product influences their feelings and thoughts about that entity's character or properties."
Linguistics,"The constructed language Esperanto, created in 1887 by L. L. Zamenhof, was designed to be a universal second language to foster peace and international understanding."
Astronomy,"The Pillars of Creation, located in the Eagle Nebula, are large columns of interstellar gas and dust that are home to newly forming stars."
Entertainment,"The Guinness World Record for the longest TV marathon by a team is 94 hours, achieved by a group watching 'The Simpsons' in 2016."
Political Science,"The 'Iron Law of Oligarchy' suggests that all forms of organization, regardless of how democratic or autocratic they might be at the start, will eventually and inevitably develop oligarchic tendencies."
Sociology,"'Broken windows theory' posits that visible signs of crime, anti-social behavior, and civil disorder create an urban environment that encourages further crime and disorder."
Philosophy,"The 'Ship of Theseus' paradox explores the notions of identity and change, questioning whether an object that has had all of its components replaced remains fundamentally the same object."
Fashion,"The modern zipper was improved and made practical by Gideon Sundback in the early 20th century, revolutionizing clothing design and functionality."
Architecture,"The Sydney Opera House, designed by Jørn Utzon and opened in 1973, is one of the 20th century's most famous and distinctive buildings."
Travel,"The Trans-Siberian Railway, spanning over 9,289 kilometers from Moscow to Vladivostok, is the longest railway line in the world."
Gaming,"The game 'Pong', released in 1972 by Atari, was one of the first video games to reach mainstream popularity."
Science,"The placebo effect demonstrates that the mind can have a powerful effect on the body, improving symptoms or condition without any specific treatment."
Space,"The Hubble Space Telescope, launched in 1990, has provided some of the most detailed images of distant galaxies, contributing significantly to astrophysics."
History,"The Library of Alexandria, one of the largest and most significant libraries of the ancient world, was famous for having thousands of scrolls and works from different cultures and times."
Biology,"Bioluminescence, the production and emission of light by living organisms, is found in several creatures including fireflies, jellyfish, and some fungi."
Technology,"The first practical mechanical computer was the Analytical Engine, conceived by Charles Babbage in the 1830s, although it was never completed in his lifetime."
Geography,"The Pacific Ocean is the largest ocean on Earth, covering more than 30% of the planet's surface."
Mathematics,"'P versus NP' problem is one of the seven Millennium Prize Problems established by the Clay Mathematics Institute, which are unsolved problems in mathematics."
Literature,"The first known detective story was 'The Murders in the Rue Morgue' by Edgar Allan Poe, published in 1841."
Sports,"Jesse Owens, an African-American athlete, won four gold medals at the 1936 Berlin Olympics, challenging the Nazi ideology of racial supremacy."
Music,"The oldest known melody, 'Hurrian Hymn No. 6', dates back to approximately 1400 B.C. and was discovered in Ugarit (now modern-day Syria)."
Animals,"The cheetah is not only the fastest land animal, reaching speeds up to 75 mph, but also has an extraordinary acceleration capability."
Cinema,"The first Academy Awards, held in 1929, had tickets that cost $5 and the ceremony lasted 15 minutes."
Food,"Chocolate was consumed as a liquid, not a solid, by the ancient Maya and Aztec peoples."
Art,"The Mona Lisa, painted by Leonardo da Vinci in the 16th century, is arguably the most famous piece of art in the world, known for her enigmatic smile."
Economics,"'The Great Depression', beginning in 1929, was the worst economic downturn in the industrialized world, lasting about a decade."
Physics,"The discovery of the cosmic microwave background radiation in 1965 provided strong evidence for the Big Bang theory."
Chemistry,"The discovery of fullerenes, a new form of carbon molecule, in 1985 led to the awarding of the Nobel Prize in Chemistry in 1996."
Medical,"The first human heart transplant was performed by Dr. Christiaan Barnard in Cape Town, South Africa, in 1967."
Environmental,"The ozone layer hole, primarily caused by man-made chemicals, was first discovered in the 1980s, leading to the Montreal Protocol in 1987 to reduce harmful emissions."
Psychology,"Mirror therapy is used to help amputees and people with phantom limb pain, suggesting that visual feedback can trick the brain into experiencing relief from pain."
Linguistics,"The 'Sapir-Whorf Hypothesis' proposes that the structure of a language affects its speakers' worldview or cognition."
Astronomy,"'Dark matter' and 'dark energy' are theoretical constructs that together comprise over 95% of the universe, yet they are invisible and undetectable directly."
Entertainment,"The longest-running play in history is 'The Mousetrap' by Agatha Christie, which opened in London in 1952 and has been running continuously since then."
Political Science,"The concept of 'nation-state' emerged in the treaty of Westphalia in 1648, marking the beginning of the modern international system of sovereign states."
Sociology,"The 'global village' concept, popularized by Marshall McLuhan in the 1960s, describes how the world has been contracted into a village by electronic technology, enabling instant communication."
Philosophy,"'Cogito, ergo sum' ('I think, therefore I am') is a foundational element of Western philosophy, introduced by René Descartes to demonstrate the indubitable existence of the self."
Fashion,"The 'New Look' silhouette, characterized by a cinched waist and full skirt, was introduced by Christian Dior in 1947, revolutionizing post-war women's fashion."
Architecture,"The Guggenheim Museum in Bilbao, Spain, designed by Frank Gehry and opened in 1997, is considered one of the most important pieces of contemporary architecture."
Travel,"The concept of the 'Seven Wonders of the World' originates from ancient Greek historians, who cataloged the most remarkable creations of classical antiquity."
Gaming,"'Super Mario Bros.', released in 1985 for the Nintendo Entertainment System, became one of the best-selling video games of all time, significantly impacting the video game industry."
Science,"The coelacanth, a fish thought to have been extinct for 65 million years, was discovered alive off the coast of South Africa in 1938."
Space,"Neptune's moon Triton is one of the few moons in the solar system that orbits its planet in the opposite direction of the planet's rotation, a retrograde orbit."
History,"The first known compass was used by the Chinese during the Han dynasty between the 2nd century BCE and 1st century CE for navigation and geomancy."
Biology,"The honey fungus, measuring 2.4 miles (3.8 km) across in Oregon's Blue Mountains, is the largest living organism on Earth."
Technology,"The first message ever sent over the ARPANET, the precursor to the internet, on October 29, 1969, was 'LO', meant to be 'LOGIN' but the system crashed after the first two letters."
Geography,"Mount Thor on Baffin Island, Canada, has the world's greatest purely vertical drop at 1,250 meters (4,101 feet), making it a challenge for even the most experienced climbers."
Mathematics,"Eratosthenes of Cyrene, a Greek mathematician, accurately calculated the Earth's circumference in the 3rd century BCE using the angles of shadows in different cities."
Literature,"The Gutenberg Bible, printed in the 1450s, was the first major book printed using mass-produced movable metal type in Europe, marking the start of the Gutenberg Revolution."
Sports,"The modern game of soccer (football) began in 1863 in England, when rugby football and association football branched off on their different courses."
Music,"The oldest known musical instruments, flutes made from bird bone and mammoth ivory, have been found in the Swabian Jura region of present-day Germany and are dated to between 42,000 and 43,000 years old."
Animals,"Turritopsis dohrnii, also known as the 'immortal jellyfish', is capable of reverting back to its polyp stage after reaching maturity, essentially making it capable of living indefinitely."
Cinema,"'Snow White and the Seven Dwarfs', released in 1937 by Walt Disney, was the first full-length animated feature film and the first one made in Technicolor."
Food,"Sushi's origins trace back to the rice fields of Asia, where fish was fermented with salt and rice, after which the rice was discarded, and the fish was eaten."
Art,"The 'Ishtar Gate', part of the walls of Babylon, now in modern Iraq, was constructed in about 575 BCE and is considered one of the original Seven Wonders of the Ancient World."
Economics,"The 'Laffer Curve', named after economist Arthur Laffer, suggests there's an optimal tax rate that maximizes revenue without discouraging productivity."
Physics,"The concept of 'Schrodinger's Cat', a thought experiment, illustrates the quantum principle of superposition, where a system can exist in multiple states at once until observed."
Chemistry,"Marie Curie was the first woman to win a Nobel Prize and remains the only person to win a Nobel in two different sciences (Physics and Chemistry)."
Medical,"The discovery of insulin in 1921 by Frederick Banting and Charles Best is considered one of the most important milestones in the history of medicine, transforming diabetes from a fatal disease to a manageable condition."
Environmental,"The Great Barrier Reef, off the coast of Queensland in northeastern Australia, is the largest living structure on the planet and can be seen from space."
Psychology,"The 'Stanford Prison Experiment', conducted in 1971 by psychologist Philip Zimbardo, intended to investigate the psychological effects of perceived power, focusing on the struggle between prisoners and prison guards."
Linguistics,"The 'Sapir-Whorf Hypothesis' posits that the structure of a language affects its speakers' thought processes and worldview."
Astronomy,"In 2006, Pluto was reclassified from a planet to a 'dwarf planet' by the International Astronomical Union."
Entertainment,"'Doctor Who', first broadcast in 1963, holds the Guinness World Record for the longest-running science fiction television show."
Political Science,"Magna Carta, signed in 1215, is considered one of the first steps towards parliamentary democracy in England."
Sociology,"'The McDonaldization of Society', a concept introduced by sociologist George Ritzer, describes the process by which the principles of the fast-food restaurant are coming to dominate more sectors of our society."
Philosophy,"The Allegory of the Cave, presented by Plato in 'The Republic', is a dialogue concerning human perception and the distinction between the world of appearances and the 'real' world of the Forms."
Fashion,"The miniskirt, widely associated with the 1960s fashion revolution, was credited to fashion designer Mary Quant, who named it after her favorite make of car, the Mini."
Architecture,"The Eiffel Tower, completed in 1889 for the Paris Exposition, was initially criticized by some of France's leading artists and intellectuals for its design."
Travel,"The concept of a round-the-world cruise first materialized in 1922, with the Cunard Line's Laconia completing the first continuous circumnavigation of the globe by a passenger liner."
Gaming,"'Space Invaders', released in 1978, is credited with popularizing the concept of high scores, leading to the competitive nature of arcade gaming."












